MATCHID,ROUND,SCORE_STR
2486258,1,87-76
2486259,1,97-77
2486260,1,69-78
2486261,1,106-91
2486262,1,63-79
2486264,1,72-70
2486265,1,87-101
2486266,1,72-96
2486267,2,70-71
2486268,2,87-72
2486269,2,82-87
2486270,2,93-88
2486271,2,82-73
2486272,2,82-69
2486273,2,90-73
2486274,2,101-95
2486276,3,81-74
2486277,3,80-102
2486279,3,89-93
2486280,3,95-96
2486281,3,82-78
2486282,3,58-107
2486283,3,84-94
2486284,3,70-82
2486285,4,88-83
2486286,4,91-75
2486287,4,79-59
2486288,4,75-69
2486289,4,88-82
2486290,4,90-75
2486292,4,93-80
2486293,4,89-64
2486294,5,94-86
2486295,5,97-61
2486296,5,57-78
2486297,5,82-97
2486298,5,78-79
2486299,5,99-81
2486300,5,87-66
2486301,5,80-75
2486304,6,81-73
2486305,6,101-75
2486306,6,68-95
2486307,6,84-80
2486308,6,75-79
2486309,6,59-79
2486310,6,76-72
2486311,6,99-76
2486312,7,83-80
2486313,7,93-68
2486314,7,65-71
2486315,7,87-92
2486316,7,71-92
2486317,7,91-65
2486318,7,77-102
2486319,7,79-90
2486321,8,109-73
2486322,8,83-76
2486324,8,101-89
2486325,8,82-86
2486326,8,99-76
2486327,8,68-94
2486328,8,88-80
2486329,8,84-91
2486330,9,101-90
2486331,9,77-99
2486332,9,99-89
2486333,9,70-87
2486334,9,67-75
2486335,9,83-52
2486336,9,90-71
2486337,9,90-76
2486339,10,87-86
2486340,10,88-74
2486341,10,64-68
2486342,10,82-75
2486343,10,97-69
2486344,10,77-70
2486346,10,98-75
2486347,10,97-79
2486348,11,88-89
2486349,11,77-68
2486350,11,102-85
2486351,11,78-71
2486352,11,64-76
2486353,11,83-80
2486354,11,69-81
2486355,11,72-79
2486357,12,91-86
2486358,12,86-93
2486359,12,86-96
2486360,12,95-59
2486361,12,94-77
2486362,12,106-80
2486363,12,84-62
2486364,12,68-74
2486366,13,45-115
2486367,13,72-85
2486368,13,73-67
2486369,13,80-89
2486370,13,77-89
2486371,13,77-65
2486372,13,104-102
2486373,13,65-95
2486375,14,95-77
2486376,14,82-80
2486377,14,80-70
2486378,14,103-99
2486379,14,88-77
2486380,14,86-77
2486381,14,75-73
2486382,14,91-76
2486384,15,81-68
2486385,15,63-71
2486387,15,102-67
2486388,15,92-75
2486389,15,75-88
2486390,15,83-64
2486391,15,85-87
2486392,15,97-88
2486393,16,89-96
2486394,16,80-76
2486395,16,85-102
2486396,16,74-69
2486397,16,79-61
2486398,16,96-93
2486399,16,73-76
2486400,16,84-91
2486402,17,71-64
2486403,17,79-88
2486404,17,94-72
2486405,17,87-75
2486406,17,81-74
2486407,17,89-87
2486408,17,101-70
2486409,17,83-77
2486411,18,63-82
2486412,18,92-95
2486413,18,80-76
2486414,18,86-68
2486415,18,73-66
2486416,18,69-72
2486417,18,78-72
2486418,18,72-105
2486420,19,84-78
2486421,19,89-81
2486422,19,72-94
2486423,19,76-69
2486424,19,64-84
2486425,19,81-75
2486426,19,84-89
2486427,19,77-92
2486429,20,78-71
2486430,20,79-80
2486431,20,81-76
2486432,20,100-86
2486433,20,93-65
2486435,20,81-80
2486436,20,85-69
2486437,20,79-87
2486438,21,69-76
2486439,21,65-85
2486440,21,93-101
2486441,21,87-90
2486442,21,103-97
2486443,21,61-76
2486444,21,91-90
2486445,21,70-92
2486447,22,58-76
2486448,22,82-89
2486449,22,105-82
2486451,22,66-82
2486452,22,81-69
2486453,22,97-74
2486454,22,70-101
2486455,22,83-77
2486456,23,68-73
2486457,23,88-72
2486458,23,83-74
2486459,23,81-79
2486460,23,85-78
2486461,23,77-97
2486462,23,92-80
2486463,23,77-66
2486465,24,102-104
2486466,24,89-74
2486467,24,74-91
2486468,24,101-49
2486469,24,90-74
2486470,24,59-74
2486472,24,75-86
2486473,24,79-87
2486474,25,80-103
2486475,25,86-83
2486476,25,90-66
2486477,25,78-71
2486478,25,82-68
2486479,25,79-77
2486480,25,90-71
2486481,25,99-87
2486483,26,69-95
2486484,26,105-84
2486485,26,89-80
2486486,26,57-71
2486487,26,78-77
2486488,26,80-78
2486489,26,72-67
2486490,26,84-77
2486492,27,83-81
2486493,27,63-87
2486494,27,65-72
2486495,27,86-77
2486496,27,82-77
2486498,27,87-67
2486499,27,84-105
2486500,27,82-62
2486501,28,SÁBADO04/04/202620:45
2486502,28,DOMINGO05/04/202618:00
2486503,28,DOMINGO05/04/202618:30
2486504,28,DOMINGO05/04/202611:30
2486505,28,DOMINGO05/04/202612:00
2486506,28,SÁBADO04/04/202619:00
2486507,28,SÁBADO04/04/202619:30
2486508,28,DOMINGO05/04/202618:00
2486510,29,SÁBADO11/04/202619:00
2486511,29,DOMINGO12/04/202618:00
2486512,29,VIERNES10/04/202620:45
2486513,29,SÁBADO11/04/202619:00
2486514,29,SÁBADO11/04/202619:00
2486515,29,SÁBADO11/04/202619:00
2486516,29,SÁBADO11/04/202619:00
2486518,29,SÁBADO11/04/202619:30
2486519,30,DOMINGO19/04/202618:00
2486520,30,SÁBADO18/04/202619:30
2486521,30,VIERNES17/04/202620:00
2486522,30,VIERNES17/04/202620:00
2486523,30,DOMINGO19/04/202612:30
2486524,30,SÁBADO18/04/202618:30
2486525,30,VIERNES17/04/202620:30
2486526,30,DOMINGO19/04/202618:00
2486529,31,MIÉRCOLES22/04/202620:00
2486530,31,MARTES21/04/202620:00
2486531,31,MIÉRCOLES22/04/202620:45
2486532,31,MIÉRCOLES22/04/202620:00
2486533,31,MIÉRCOLES22/04/202620:30
2486534,31,MARTES21/04/202620:45
2486535,31,MIÉRCOLES22/04/202620:30
2486536,31,MIÉRCOLES22/04/202620:30
2486537,32,DOMINGO26/04/202612:30
2486538,32,DOMINGO26/04/202618:00
2486539,32,DOMINGO26/04/202612:30
2486540,32,DOMINGO26/04/202618:00
2486541,32,DOMINGO26/04/202618:00
2486542,32,SÁBADO25/04/202620:00
2486543,32,DOMINGO26/04/202612:30
2486544,32,DOMINGO26/04/202618:00
2486546,33,SÁBADO02/05/202619:00
2486547,33,DOMINGO03/05/202618:00
2486548,33,DOMINGO03/05/202618:00
2486549,33,DOMINGO03/05/202611:30
2486550,33,SÁBADO02/05/202619:00
2486551,33,SÁBADO02/05/202619:00
2486552,33,SÁBADO02/05/202619:00
2486553,33,DOMINGO03/05/202618:00
2486555,34,VIERNES08/05/202621:00
2486556,34,VIERNES08/05/202621:00
2486557,34,VIERNES08/05/202621:00
2486559,34,VIERNES08/05/202621:00
2486560,34,VIERNES08/05/202621:00
2486561,34,VIERNES08/05/202621:00
2486562,34,VIERNES08/05/202621:00
2486563,34,VIERNES08/05/202621:00
