Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
FIBWI MALLORCA BASQUET PALMA ,0,0,A. Scariolo Ares,01:45,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,0,0,2,0,1,-2,1843906,https://imagenes.feb.es/foto.aspx?c=1843906,105
FIBWI MALLORCA BASQUET PALMA ,1,1,L. Smith,21:28,11,5,9,55.6,0,0,0.0,5,9,55.6,1,2,50.0,2,5,7,0,0,1,1,0,0,2,2,12,15,2788739,https://imagenes.feb.es/foto.aspx?c=2788739,1288
FIBWI MALLORCA BASQUET PALMA ,4,0,S. Niang Beye,15:18,2,1,1,100.0,0,3,0.0,1,4,25.0,0,0,0.0,3,2,5,2,0,0,1,0,0,2,0,-15,5,2319991,https://imagenes.feb.es/foto.aspx?c=2319991,918
FIBWI MALLORCA BASQUET PALMA ,6,0,J. Bocca,13:40,3,0,1,0.0,1,2,50.0,1,3,33.3,0,0,0.0,0,1,1,0,0,0,0,1,0,3,0,-12,-1,2821058,https://imagenes.feb.es/foto.aspx?c=2821058,820
FIBWI MALLORCA BASQUET PALMA ,13,1,O. Matulionis,22:42,1,0,2,0.0,0,2,0.0,0,4,0.0,1,3,33.3,1,5,6,2,0,1,0,0,0,1,4,-4,7,2027826,https://imagenes.feb.es/foto.aspx?c=2027826,1362
FIBWI MALLORCA BASQUET PALMA ,15,0,O. Siquier Costa,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008018,https://imagenes.feb.es/foto.aspx?c=2008018,0
FIBWI MALLORCA BASQUET PALMA ,23,1,J. Aramburu Lamy,24:42,6,3,3,100.0,0,0,0.0,3,3,100.0,0,0,0.0,0,3,3,1,1,5,1,0,3,4,1,10,12,1509876,https://imagenes.feb.es/foto.aspx?c=1509876,1482
FIBWI MALLORCA BASQUET PALMA ,24,1,L. Capalbo,28:41,10,5,7,71.4,0,2,0.0,5,9,55.6,0,0,0.0,0,0,0,7,4,1,0,0,0,5,4,9,9,2818075,https://imagenes.feb.es/foto.aspx?c=2818075,1721
FIBWI MALLORCA BASQUET PALMA ,30,0,J. Martinez Cabezudo,03:13,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,-7,-1,1241485,https://imagenes.feb.es/foto.aspx?c=1241485,193
FIBWI MALLORCA BASQUET PALMA ,33,1,L. Bracey,26:59,11,2,7,28.6,2,4,50.0,4,11,36.4,1,1,100.0,0,1,1,1,2,0,0,1,0,1,1,2,4,2583212,https://imagenes.feb.es/foto.aspx?c=2583212,1619
FIBWI MALLORCA BASQUET PALMA ,44,0,B. Vazquez Arraiza,23:00,15,3,5,60.0,2,5,40.0,5,10,50.0,3,5,60.0,0,2,2,2,4,1,0,0,0,2,4,-4,11,2783882,https://imagenes.feb.es/foto.aspx?c=2783882,1380
FIBWI MALLORCA BASQUET PALMA ,99,0,P. Bombino Parada,18:32,9,3,5,60.0,0,0,0.0,3,5,60.0,3,4,75.0,2,2,4,0,4,3,1,0,1,2,3,-17,11,2819257,https://imagenes.feb.es/foto.aspx?c=2819257,1112
GRUPO ALEGA CANTABRIA,2,0,J. Powell,22:54,10,3,6,50.0,1,4,25.0,4,10,40.0,1,1,100.0,0,2,2,1,5,2,0,2,0,2,1,14,3,2334516,https://imagenes.feb.es/foto.aspx?c=2334516,1374
GRUPO ALEGA CANTABRIA,6,0,C. Taboada Heiskanen,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1899194,https://imagenes.feb.es/foto.aspx?c=1899194,0
GRUPO ALEGA CANTABRIA,7,0,D. Van Oostrum,12:09,3,0,0,0.0,1,4,25.0,1,4,25.0,0,0,0.0,0,2,2,2,0,1,0,0,0,2,1,11,4,2867402,https://imagenes.feb.es/foto.aspx?c=2867402,729
GRUPO ALEGA CANTABRIA,8,1,S. Rodríguez Ramos,33:48,10,2,4,50.0,0,4,0.0,2,8,25.0,6,7,85.7,1,8,9,5,2,4,0,0,0,0,6,9,25,841966,https://imagenes.feb.es/foto.aspx?c=841966,2028
GRUPO ALEGA CANTABRIA,10,1,G. Martinez Diaz,22:09,9,2,3,66.7,1,2,50.0,3,5,60.0,2,2,100.0,3,2,5,4,2,1,0,0,0,5,1,15,11,1821694,https://imagenes.feb.es/foto.aspx?c=1821694,1329
GRUPO ALEGA CANTABRIA,11,1,J. Yu,24:01,10,2,5,40.0,0,0,0.0,2,5,40.0,6,8,75.0,3,3,6,0,1,0,1,1,0,0,8,-9,19,2815820,https://imagenes.feb.es/foto.aspx?c=2815820,1441
GRUPO ALEGA CANTABRIA,12,1,D. Alderete Diaz,15:49,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,3,4,1,0,0,0,0,0,3,0,-4,2,1676845,https://imagenes.feb.es/foto.aspx?c=1676845,949
GRUPO ALEGA CANTABRIA,15,0,P. Hernandez Montenegro,05:26,0,0,2,0.0,0,0,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,2,0,-2,-4,1442713,https://imagenes.feb.es/foto.aspx?c=1442713,326
GRUPO ALEGA CANTABRIA,31,0,M. Lapornik,24:40,7,0,1,0.0,1,4,25.0,1,5,20.0,4,4,100.0,0,2,2,2,2,2,1,0,0,1,3,-10,10,2864604,https://imagenes.feb.es/foto.aspx?c=2864604,1480
GRUPO ALEGA CANTABRIA,32,1,R. Johnson Jr,23:21,18,4,5,80.0,2,6,33.3,6,11,54.5,4,5,80.0,1,0,1,0,5,1,0,0,0,2,3,-11,10,2274998,https://imagenes.feb.es/foto.aspx?c=2274998,1401
GRUPO ALEGA CANTABRIA,34,0,G. Kande Kieli,15:43,6,3,5,60.0,0,0,0.0,3,5,60.0,0,1,0.0,0,2,2,0,1,0,0,0,0,2,1,12,3,2446696,https://imagenes.feb.es/foto.aspx?c=2446696,943
